Invoice No,Purchase Date,Customer ID,Customer Name,Vendor Name,Product,Purchase Price,Selling Price,Quantity,Tax 
INV1001,17-05-2025,CUST001,Mira Gupta,TechZone Pvt Ltd,Keyboard,400,600,3,12
INV1002,16-05-2025,CUST002,Prisha Chopra,SmartBuy Ltd,Router,2000,2700,4,18
INV1003,14-05-2025,CUST003,Shaurya Mehta,Global Traders,USB Hub,300,450,4,12
INV1004,18-05-2025,CUST004,Aarohi Balan,Global Traders,Router,2000,2700,5,18
INV1005,05-05-2025,CUST005,Meera Mehta,Gadget World,Monitor,7000,8500,4,18
INV1006,31-05-2025,CUST006,Yuvan Jain,SmartBuy Ltd,Headphones,800,1200,1,5
INV1007,19-05-2025,CUST007,Myra Das,OfficeMart,Headphones,800,1200,5,5
INV1008,08-05-2025,CUST008,Jiya Balan,Gadget World,Headphones,800,1200,3,5
INV1009,20-05-2025,CUST009,Myra Dubey,OfficeMart,Printer,6000,7500,5,18
INV1010,25-05-2025,CUST010,Laksh Desai,TechZone Pvt Ltd,Printer,6000,7500,2,18
INV1011,26-05-2025,CUST011,Rohan Verma,TechZone Pvt Ltd,Web Camera,1500,2200,1,18
INV1012,15-05-2025,CUST012,Ira Desai,Gadget World,External HDD,3500,4800,3,18
INV1013,23-05-2025,CUST013,Rohan Sharma,SmartBuy Ltd,Smartphone,12000,14500,1,12
INV1014,10-05-2025,CUST014,Riya Yadav,SmartBuy Ltd,External HDD,3500,4800,5,18
INV1015,07-05-2025,CUST015,Ira Sharma,Global Traders,Printer,6000,7500,2,18
INV1016,28-05-2025,CUST016,Jiya Singh,OfficeMart,Headphones,800,1200,2,5
INV1017,26-05-2025,CUST017,Aarohi Roy,SmartBuy Ltd,Monitor,7000,8500,4,18
INV1018,08-05-2025,CUST018,Aarav Patel,TechZone Pvt Ltd,Headphones,800,1200,1,5
INV1019,30-05-2025,CUST019,Laksh Yadav,Gadget World,Router,2000,2700,1,18
INV1020,26-05-2025,CUST020,Kabir Reddy,OfficeMart,USB Hub,300,450,4,12
INV1021,17-05-2025,CUST021,Myra Iyer,OfficeMart,Headphones,800,1200,1,5
INV1022,11-05-2025,CUST022,Reyansh Mishra,TechZone Pvt Ltd,Printer,6000,7500,4,18
INV1023,19-05-2025,CUST023,Anvi Desai,Global Traders,USB Hub,300,450,2,12
INV1024,12-05-2025,CUST024,Reyansh Thakur,TechZone Pvt Ltd,Laptop,45000,52000,3,18
INV1025,30-05-2025,CUST025,Anika Verma,Gadget World,USB Hub,300,450,5,12
INV1026,25-05-2025,CUST026,Myra Pandey,SmartBuy Ltd,Keyboard,400,600,2,12
INV1027,27-05-2025,CUST027,Diya Ghosh,OfficeMart,Laptop,45000,52000,3,18
INV1028,16-05-2025,CUST028,Aditya Gupta,Gadget World,Keyboard,400,600,3,12
INV1029,08-05-2025,CUST029,Anika Chopra,SmartBuy Ltd,Web Camera,1500,2200,2,18
INV1030,01-05-2025,CUST030,Om Chopra,OfficeMart,Monitor,7000,8500,3,18
INV1031,02-05-2025,CUST031,Navya Reddy,SmartBuy Ltd,Smartphone,12000,14500,3,12
INV1032,01-05-2025,CUST032,Tara Verma,OfficeMart,Smartphone,12000,14500,4,12
INV1033,22-05-2025,CUST033,Veer Menon,TechZone Pvt Ltd,Laptop,45000,52000,1,18
INV1034,20-05-2025,CUST034,Kiara Joshi,SmartBuy Ltd,External HDD,3500,4800,3,18
INV1035,29-05-2025,CUST035,Laksh Mehta,TechZone Pvt Ltd,Router,2000,2700,4,18
INV1036,06-05-2025,CUST036,Arjun Desai,Gadget World,Laptop,45000,52000,4,18
INV1037,24-05-2025,CUST037,Jiya Menon,OfficeMart,Headphones,800,1200,5,5
INV1038,23-05-2025,CUST038,Jiya Thakur,Global Traders,Headphones,800,1200,4,5
INV1039,04-05-2025,CUST039,Ira Pandey,Global Traders,Headphones,800,1200,3,5
INV1040,04-05-2025,CUST040,Jiya Pandey,OfficeMart,External HDD,3500,4800,2,18
INV1041,16-05-2025,CUST041,Anika Banerjee,SmartBuy Ltd,External HDD,3500,4800,1,18
INV1042,07-05-2025,CUST042,Tara Pandey,OfficeMart,Smartphone,12000,14500,4,12
INV1043,07-05-2025,CUST043,Om Dubey,Global Traders,Router,2000,2700,5,18
INV1044,18-05-2025,CUST044,Saanvi Pandey,Global Traders,Smartphone,12000,14500,3,12
INV1045,29-05-2025,CUST045,Neil Sharma,OfficeMart,Web Camera,1500,2200,1,18
INV1046,29-05-2025,CUST046,Aanya Patel,OfficeMart,Keyboard,400,600,5,12
INV1047,27-05-2025,CUST047,Siddharth Ghosh,TechZone Pvt Ltd,External HDD,3500,4800,5,18
